Date,Pilotcode,VehicleCode,StationCode,StartTime,EndTime,Distance,Total,,,,,,collection
08-06-2024,1112,2297,511,7:52:16,19:54:56,119.3,1312,,,,,,
08-06-2024,1265,2328,504,8:30:38,20:08:03,128.6,1600,,,,,,
08-06-2024,1681,2342,511,8:06:03,19:36:43,98.3,1081,,,,,,
08-06-2024,1149,2355,504,7:58:09,19:22:42,152.7,1568,,,,,,
08-06-2024,1150,2287,511,9:42:48,20:21:33,117,1232,,,,,,
08-06-2024,1685,2293,511,9:10:49,19:45:47,116.6,1283,,,,,,
08-06-2024,1181,2319,504,9:54:37,18:55:35,95.5,1222,,,,,,
08-06-2024,1226,2329,504,9:04:07,18:02:35,127.3,1331,,,,,,
08-06-2024,1236,2343,511,9:07:16,19:15:14,125.5,1226,,,,,,
09-06-2024,1237,2307,504,6:07:30,18:33:26,97.4,1071,,,,,,
09-06-2024,1149,2355,504,6:18:39,15:21:54,100.3,1301,,,,,,
09-06-2024,1115,2054,503,8:22:23,16:32:36,85.7,916,,,,,,
09-06-2024,1681,2342,511,8:11:40,19:22:15,114.8,1254,,,,,,
09-06-2024,1017,2023,504,9:15:14,15:03:38,87.8,1009,,,,,,
09-06-2024,1023,2026,503,9:16:22,16:42:22,89.9,1013,,,,,,
09-06-2024,1150,2287,511,10:12:23,19:17:19,109.8,1211,,,,,,
09-06-2024,1112,2297,511,10:24:58,19:19:44,110.2,1212,,,,,,
09-06-2024,1181,2319,504,9:59:41,19:20:36,119.3,1204,,,,,,
09-06-2024,1265,2328,504,9:28:54,20:19:13,147.5,1546,,,,,,
09-06-2024,1236,2343,511,10:10:03,18:57:52,98.1,1002,,,,,,
10-06-2024,1237,2307,504,7:06:24,17:04:30,93.7,1031,,,,,,
10-06-2024,1017,2023,504,7:53:15,17:24:45,143.6,1443,,,,,,
10-06-2024,1048,2044,504,7:47:37,16:49:37,135.6,1429,,,,,,
10-06-2024,1115,2054,503,8:18:43,17:53:19,109.5,1229,,,,,,
10-06-2024,1116,2112,503,8:43:52,17:57:04,108.6,1210,,,,,,
10-06-2024,1150,2287,511,9:00:44,18:45:46,112.5,1208,,,,,,
10-06-2024,1685,2293,511,7:47:59,20:03:02,108.9,1198,,,,,,
10-06-2024,1375,2295,511,7:47:24,19:44:45,128.7,1568,,,,,,
10-06-2024,1112,2297,511,8:30:06,17:57:16,129.6,1426,,,,,,
10-06-2024,1227,2316,504,8:36:09,21:52:53,139.1,1517,,,,,,
10-06-2024,1265,2328,504,8:44:26,19:27:51,141.6,1611,,,,,,
10-06-2024,1681,2342,511,7:43:01,19:05:11,102.2,1124,,,,,,
10-06-2024,1236,2343,511,8:48:37,18:50:33,108.1,1010,,,,,,
10-06-2024,1152,2349,504,7:38:23,17:39:05,132.1,1506,,,,,,
